Semilla,Tratamiento,Germinacion,Materia_Fresca_Raiz,Materia_Fresca_Tallo,Materia_Seca_Raiz,Materia_Seca_Tallo,Peso_Dia3,Altura_Dia1,Diametro_Dia1,Peso_Dia2,Altura_Dia2,Diametro_Dia2,Peso_Dia1,Altura_Dia3,Diametro_Dia3
20,Turba,1,0.39287418,0.59118094,0.03817764,0.0812889,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
21,Turba,1,0.0,0.0,0.0,0.0,193,8.6,8.0,217,7.8,8.5,227,9.1,8.9
22,Turba,1,0.0,0.0,0.0,0.0,289,8.3,9.1,267,8.5,8.1,227,8.0,8.3
23,Turba,1,0.0,0.0,0.0,0.0,182,10.3,8.4,225,7.9,7.9,298,9.3,9.9
24,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
25,Turba,1,0.0,0.0,0.0,0.0,177,8.6,8.4,217,8.5,8.8,212,7.9,10.6
26,Turba,1,0.0,0.0,0.0,0.0,287,9.1,8.3,208,9.2,9.2,292,9.3,9.4
27,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
28,Turba,1,0.0,0.0,0.0,0.0,322,10.8,7.7,279,9.3,8.1,226,9.1,8.2
29,Turba,1,0.0,0.0,0.0,0.0,289,11.1,8.0,268,10.0,8.0,262,8.2,8.2
30,Turba,1,0.0,0.0,0.0,0.0,375,7.7,8.4,293,8.8,8.5,330,8.4,8.2
31,Turba,1,0.39807498,0.59175664,0.04174459,0.07914162,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
32,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
33,Turba,1,0.0,0.0,0.0,0.0,247,10.3,9.4,216,9.4,8.3,235,10.5,6.9
34,Turba,1,0.0,0.0,0.0,0.0,270,7.9,9.6,217,8.2,7.4,240,7.9,8.3
35,Turba,1,0.0,0.0,0.0,0.0,289,10.8,7.7,180,9.3,8.4,235,8.5,9.1
36,Turba,1,0.0,0.0,0.0,0.0,270,9.7,9.1,211,10.1,9.9,305,10.5,8.3
37,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
38,Turba,1,0.0,0.0,0.0,0.0,182,9.2,7.7,280,8.7,6.9,292,8.2,6.9
39,Turba,1,0.0,0.0,0.0,0.0,181,9.4,7.2,146,10.3,8.1,196,8.5,8.8
40,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
41,Turba,1,0.0,0.0,0.0,0.0,247,9.1,8.1,211,8.8,8.2,211,8.0,9.3
42,Turba,1,0.0,0.0,0.0,0.0,193,10.3,8.7,255,9.4,7.8,240,8.2,7.2
43,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
44,Turba,1,0.44284439,0.56925418,0.03619034,0.07802665,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
45,Turba,1,0.0,0.0,0.0,0.0,301,10.6,8.7,209,9.5,10.6,235,8.5,9.1
46,Turba,1,0.0,0.0,0.0,0.0,318,10.2,8.7,268,8.7,8.2,224,10.1,8.0
47,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
48,Turba,1,0.0,0.0,0.0,0.0,310,8.3,7.8,268,8.8,10.3,196,7.3,9.1
49,Turba,1,0.0,0.0,0.0,0.0,179,10.8,8.7,210,7.5,7.9,279,8.4,8.6
50,Turba,1,0.0,0.0,0.0,0.0,163,10.6,8.4,276,11.3,7.1,235,8.4,8.3
51,Turba,1,0.0,0.0,0.0,0.0,270,7.7,8.7,267,9.5,8.4,226,7.8,8.5
52,Turba,1,0.0,0.0,0.0,0.0,163,8.7,9.1,146,9.1,10.5,203,8.7,7.2
53,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
54,Turba,1,0.43507433,0.59730264,0.03793492,0.08544244,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
55,Turba,1,0.0,0.0,0.0,0.0,180,11.3,8.9,189,8.7,7.9,288,8.5,7.2
56,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
57,Turba,1,0.0,0.0,0.0,0.0,165,10.2,9.4,255,10.0,8.7,155,7.9,10.2
58,Turba,1,0.0,0.0,0.0,0.0,318,9.1,8.1,192,8.8,8.0,239,8.2,9.0
59,Turba,1,0.0,0.0,0.0,0.0,269,11.3,8.4,213,10.0,9.3,212,11.3,6.9
60,Turba,1,0.0,0.0,0.0,0.0,322,8.6,8.3,225,9.3,8.7,155,9.2,11.4
61,Turba,1,0.0,0.0,0.0,0.0,165,10.8,9.4,202,7.6,9.9,172,7.9,9.3
62,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
63,Turba,1,0.0,0.0,0.0,0.0,301,10.8,9.4,186,7.6,9.1,191,9.6,9.1
64,Turba,1,0.0,0.0,0.0,0.0,177,10.8,7.3,180,9.5,8.0,240,10.5,8.3
65,Turba,1,0.0,0.0,0.0,0.0,270,10.7,8.9,202,8.7,8.4,250,9.2,8.2
66,Turba,1,0.0,0.0,0.0,0.0,155,11.1,7.3,232,8.7,8.4,240,8.1,8.2
67,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
68,Turba,1,0.0,0.0,0.0,0.0,375,10.7,9.8,180,8.9,8.0,225,8.5,10.6
69,Turba,1,0.0,0.0,0.0,0.0,177,9.6,8.4,219,11.3,8.3,196,7.8,8.2
70,Turba,1,0.0,0.0,0.0,0.0,197,10.6,9.6,229,9.0,8.9,194,9.3,7.1
71,Turba,1,0.44754978,0.59149037,0.0351263,0.07885609,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
72,Turba,1,0.0,0.0,0.0,0.0,165,9.1,8.0,258,9.1,8.3,279,8.0,8.1
73,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
74,Turba,1,0.0,0.0,0.0,0.0,301,11.1,7.2,179,11.1,8.8,155,11.3,9.1
75,Turba,1,0.0,0.0,0.0,0.0,193,8.4,7.8,261,8.1,8.1,211,9.2,8.9
76,Turba,1,0.0,0.0,0.0,0.0,165,10.7,9.8,214,9.3,8.1,225,7.3,8.2
77,Turba,1,0.0,0.0,0.0,0.0,289,9.2,9.4,241,7.6,8.1,305,10.1,8.2
78,Turba,1,0.0,0.0,0.0,0.0,179,8.3,8.4,211,10.7,8.9,235,8.5,8.9
79,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
80,Turba,1,0.0,0.0,0.0,0.0,310,8.5,9.1,217,9.5,9.2,262,9.9,8.2
81,Turba,1,0.0,0.0,0.0,0.0,310,10.8,7.3,311,11.3,8.5,227,8.5,8.3
82,Turba,1,0.0,0.0,0.0,0.0,295,10.7,8.4,223,8.8,7.9,211,9.1,8.3
83,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
84,Turba,1,0.0,0.0,0.0,0.0,165,8.4,8.9,180,8.8,8.3,212,8.4,9.9
85,Turba,1,0.0,0.0,0.0,0.0,181,9.7,8.9,268,7.6,9.2,216,8.7,7.1
86,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
87,Turba,1,0.0,0.0,0.0,0.0,301,8.5,8.9,180,9.9,8.9,239,8.5,8.1
88,Turba,1,0.0,0.0,0.0,0.0,180,8.3,8.4,261,8.8,8.5,235,7.9,6.9
89,Turba,1,0.40290959,0.59946823,0.04219788,0.08170592,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
90,Turba,1,0.0,0.0,0.0,0.0,269,8.6,7.8,293,11.3,8.8,211,8.2,8.3
91,Turba,1,0.0,0.0,0.0,0.0,289,8.4,8.4,146,8.4,8.0,226,8.9,9.9
92,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
93,Turba,1,0.0,0.0,0.0,0.0,165,11.1,8.8,258,7.6,8.3,268,10.0,8.2
94,Turba,1,0.0,0.0,0.0,0.0,295,9.2,10.0,293,9.6,9.3,155,8.0,7.2
95,Turba,1,0.0,0.0,0.0,0.0,179,10.6,8.1,248,9.1,8.9,194,9.3,8.9
96,Turba,1,0.0,0.0,0.0,0.0,247,8.5,7.7,255,9.4,10.9,224,10.1,7.2
97,Turba,1,0.0,0.0,0.0,0.0,310,9.7,8.4,245,10.3,9.7,194,11.3,7.1
98,Turba,1,0.0,0.0,0.0,0.0,375,8.6,8.4,231,9.1,8.9,305,11.3,8.3
99,Turba,1,0.0,0.0,0.0,0.0,155,8.8,8.3,197,9.9,8.1,262,8.5,9.4
100,Turba,1,0.0,0.0,0.0,0.0,247,8.5,9.6,343,8.8,8.4,220,10.5,7.1
101,Turba,1,0.0,0.0,0.0,0.0,177,8.4,7.8,217,8.8,9.0,226,8.5,8.5
102,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
103,Turba,1,0.0,0.0,0.0,0.0,163,10.2,8.3,260,8.1,10.3,196,8.6,8.1
104,Turba,1,0.0,0.0,0.0,0.0,180,11.1,8.9,343,8.6,7.1,239,8.5,9.4
105,Turba,1,0.0,0.0,0.0,0.0,172,9.2,9.4,186,7.6,9.2,268,8.1,8.9
106,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
107,Turba,1,0.0,0.0,0.0,0.0,270,8.6,10.0,311,7.6,10.5,292,8.5,8.1
108,Turba,1,0.42492409,0.57695144,0.0342469,0.0815506,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
109,Turba,1,0.0,0.0,0.0,0.0,155,9.2,8.1,208,9.5,8.1,212,7.3,8.9
110,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
111,Turba,1,0.0,0.0,0.0,0.0,182,10.3,8.9,259,7.8,7.9,216,9.3,8.3
112,Turba,1,0.0,0.0,0.0,0.0,180,10.2,8.4,255,10.0,8.0,279,8.4,8.1
113,Turba,1,0.0,0.0,0.0,0.0,181,10.3,8.9,208,9.4,8.8,239,9.2,9.4
114,Turba,1,0.0,0.0,0.0,0.0,247,9.1,9.4,211,10.0,10.3,194,8.0,7.9
115,Turba,1,0.0,0.0,0.0,0.0,165,11.1,8.4,276,9.4,9.7,288,8.2,7.7
116,Turba,1,0.0,0.0,0.0,0.0,182,11.1,8.9,261,8.8,8.5,288,8.2,11.4
117,Turba,1,0.0,0.0,0.0,0.0,287,9.6,8.3,255,8.2,8.0,298,8.1,9.0
118,Turba,1,0.0,0.0,0.0,0.0,322,7.7,9.4,231,9.5,8.4,220,9.9,10.1
119,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
120,Turba,1,0.0,0.0,0.0,0.0,247,8.7,9.4,224,8.9,9.2,268,8.9,7.1
121,Turba,1,0.0,0.0,0.0,0.0,155,10.8,9.6,146,8.1,9.5,298,9.1,7.5
122,Turba,1,0.0,0.0,0.0,0.0,289,9.6,8.0,248,10.5,8.6,248,9.6,7.2
123,Turba,1,0.0,0.0,0.0,0.0,295,8.7,8.3,209,8.8,8.7,194,8.7,11.1
124,Turba,1,0.0,0.0,0.0,0.0,197,11.1,9.6,219,8.8,9.5,224,10.1,7.5
125,Turba,1,0.0,0.0,0.0,0.0,301,11.3,8.7,225,8.6,9.5,288,10.5,8.5
126,Turba,1,0.0,0.0,0.0,0.0,165,10.8,9.1,279,9.7,9.1,223,9.6,9.4
127,Turba,1,0.0,0.0,0.0,0.0,197,8.5,7.8,209,8.7,10.6,223,7.8,7.1
128,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
129,Turba,1,0.0,0.0,0.0,0.0,193,8.7,8.9,248,8.5,10.3,212,9.1,8.1
130,Turba,1,0.0,0.0,0.0,0.0,322,10.8,9.4,202,8.7,8.0,224,10.1,9.9
131,Turba,1,0.0,0.0,0.0,0.0,177,8.6,8.3,186,9.9,7.9,235,9.6,11.1
132,Turba,1,0.0,0.0,0.0,0.0,155,9.7,8.9,208,9.4,8.0,226,7.8,8.1
133,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
134,Turba,1,0.0,0.0,0.0,0.0,291,8.5,7.8,152,9.7,8.0,330,8.5,8.1
135,Turba,1,0.0,0.0,0.0,0.0,155,9.2,9.1,293,8.2,8.9,216,8.0,7.1
136,Turba,1,0.0,0.0,0.0,0.0,270,10.7,9.4,217,10.5,9.5,268,9.1,8.5
137,Turba,1,0.0,0.0,0.0,0.0,291,10.6,7.3,186,9.5,8.0,172,7.9,9.9
138,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
139,Turba,1,0.0,0.0,0.0,0.0,179,11.3,8.1,209,8.7,8.9,182,9.1,6.9
140,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
141,Turba,1,0.0,0.0,0.0,0.0,165,8.8,8.6,209,9.3,8.9,330,8.6,8.1
142,Turba,1,0.0,0.0,0.0,0.0,287,10.2,8.3,203,11.1,8.1,330,8.9,9.0
143,Turba,1,0.41975795,0.58004781,0.04302704,0.08019716,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
144,Turba,1,0.0,0.0,0.0,0.0,172,9.1,7.8,146,7.5,10.5,250,9.3,8.9
145,Turba,1,0.39753194,0.59884601,0.0402488,0.0781328,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
146,Turba,1,0.0,0.0,0.0,0.0,177,8.4,9.4,261,9.3,7.6,268,11.3,11.1
147,Turba,1,0.0,0.0,0.0,0.0,172,8.5,9.4,208,9.4,8.8,172,10.5,10.5
148,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
149,Turba,1,0.0,0.0,0.0,0.0,301,9.6,7.2,198,10.5,10.9,288,8.4,7.5
150,Turba,1,0.0,0.0,0.0,0.0,165,11.1,9.1,216,8.5,8.0,224,9.6,8.2
151,Turba,1,0.0,0.0,0.0,0.0,295,8.7,8.4,208,7.5,9.9,288,9.2,11.1
152,Turba,1,0.43001516,0.58578901,0.03770849,0.08442632,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
153,Turba,1,0.0,0.0,0.0,0.0,310,9.4,8.4,245,10.5,8.4,191,9.6,10.1
154,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
155,Turba,1,0.0,0.0,0.0,0.0,165,10.2,9.4,267,8.7,8.5,194,8.5,9.4
156,Turba,1,0.0,0.0,0.0,0.0,163,8.8,8.0,210,8.8,8.7,227,9.1,9.9
157,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
158,Turba,1,0.0,0.0,0.0,0.0,181,10.7,8.9,198,9.7,8.0,226,8.2,9.1
159,Turba,1,0.0,0.0,0.0,0.0,177,10.8,7.7,223,9.8,9.3,288,8.7,7.5
160,Turba,1,0.0,0.0,0.0,0.0,163,8.6,8.4,211,8.7,8.7,223,8.7,10.6
161,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
162,Turba,1,0.0,0.0,0.0,0.0,375,8.4,8.7,276,10.0,9.2,172,10.5,9.3
163,Turba,1,0.0,0.0,0.0,0.0,295,8.7,8.6,203,9.1,8.0,155,9.3,9.4
164,Turba,1,0.41025883,0.60033794,0.03424091,0.08129534,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
165,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
166,Turba,1,0.0,0.0,0.0,0.0,301,7.9,9.4,209,8.7,9.0,279,9.2,9.1
167,Turba,1,0.0,0.0,0.0,0.0,197,9.2,7.7,209,9.9,8.7,223,8.7,9.4
168,Turba,1,0.0,0.0,0.0,0.0,155,11.1,9.4,208,7.6,10.6,227,8.1,10.6
169,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
170,Turba,1,0.0,0.0,0.0,0.0,270,11.1,8.3,198,10.0,8.3,292,8.5,7.7
171,Turba,1,0.0,0.0,0.0,0.0,180,8.5,8.1,186,8.7,10.3,239,8.2,8.2
172,Turba,1,0.0,0.0,0.0,0.0,155,8.4,8.0,211,10.3,8.4,330,10.5,9.9
173,Turba,1,0.0,0.0,0.0,0.0,287,7.7,8.4,223,9.2,9.9,155,7.9,7.2
174,Turba,1,0.0,0.0,0.0,0.0,289,9.7,7.8,260,10.5,9.2,212,8.4,8.2
175,Turba,1,0.0,0.0,0.0,0.0,177,11.3,8.4,258,9.9,8.3,330,7.9,9.3
176,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
177,Turba,1,0.0,0.0,0.0,0.0,193,8.4,9.1,229,8.7,8.3,211,8.0,10.6
178,Turba,1,0.0,0.0,0.0,0.0,181,11.1,10.0,217,7.6,8.2,216,9.9,10.6
179,Turba,1,0.0,0.0,0.0,0.0,182,8.7,10.0,211,10.7,7.1,226,7.8,8.1
180,Turba,1,0.39480026,0.60145977,0.03945569,0.0835557,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
181,Turba,1,0.0,0.0,0.0,0.0,301,8.3,7.3,179,11.1,8.3,288,7.8,8.9
182,Turba,1,0.0,0.0,0.0,0.0,247,7.9,8.7,268,8.5,9.5,268,9.9,8.5
183,Turba,1,0.0,0.0,0.0,0.0,165,10.8,8.9,203,9.0,8.5,203,7.9,7.1
184,Turba,1,0.0,0.0,0.0,0.0,180,8.8,9.8,268,10.4,8.1,235,10.5,8.1
185,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
186,Turba,1,0.0,0.0,0.0,0.0,163,9.9,8.9,213,8.4,8.7,223,9.1,8.1
187,Turba,1,0.0,0.0,0.0,0.0,177,8.5,8.6,208,8.7,9.2,240,9.1,10.6
188,Turba,1,0.0,0.0,0.0,0.0,301,8.4,9.1,219,8.5,8.7,223,8.2,10.5
189,Turba,1,0.0,0.0,0.0,0.0,193,9.9,9.6,211,8.7,9.0,191,8.0,9.1
190,Turba,1,0.0,0.0,0.0,0.0,172,8.8,8.9,223,8.8,10.6,288,7.9,9.3
191,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
192,Turba,1,0.0,0.0,0.0,0.0,197,11.1,9.1,231,10.3,9.1,194,8.6,7.1
193,Turba,1,0.0,0.0,0.0,0.0,182,11.1,8.0,211,10.0,8.1,194,7.9,10.2
194,Turba,1,0.0,0.0,0.0,0.0,247,10.8,7.3,214,10.5,8.5,235,9.6,8.2
195,Turba,1,0.0,0.0,0.0,0.0,287,10.8,9.8,268,8.1,8.4,227,9.2,8.2
196,Turba,1,0.0,0.0,0.0,0.0,295,11.3,7.3,257,7.5,9.0,240,7.9,10.5
197,Turba,1,0.0,0.0,0.0,0.0,322,8.8,9.6,198,7.5,7.1,268,10.5,7.9
198,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
199,Turba,1,0.0,0.0,0.0,0.0,295,7.9,8.1,192,8.8,7.9,225,10.5,8.5
200,Turba,1,0.0,0.0,0.0,0.0,318,7.9,9.1,192,8.7,8.7,216,8.0,10.6
201,Turba,1,0.0,0.0,0.0,0.0,322,7.9,7.8,343,9.6,9.5,211,8.7,6.9
202,Turba,1,0.0,0.0,0.0,0.0,180,8.4,8.4,261,8.7,6.9,248,7.9,8.5
203,Turba,1,0.0,0.0,0.0,0.0,180,10.6,8.4,225,8.7,8.9,298,9.1,7.7
204,Turba,1,0.0,0.0,0.0,0.0,269,10.7,8.9,245,10.0,9.1,196,8.4,11.4
205,Turba,1,0.0,0.0,0.0,0.0,310,11.3,9.4,260,9.3,10.9,298,10.0,8.2
206,Turba,1,0.0,0.0,0.0,0.0,322,10.3,8.4,211,8.8,8.8,240,7.8,10.2
207,Turba,1,0.0,0.0,0.0,0.0,197,10.6,8.1,189,10.0,9.1,212,8.4,7.5
208,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
209,Turba,1,0.0,0.0,0.0,0.0,155,7.9,8.8,259,9.1,8.7,216,9.6,6.9
210,Turba,1,0.0,0.0,0.0,0.0,179,8.4,8.3,211,8.1,8.1,196,8.6,11.4
211,Turba,1,0.0,0.0,0.0,0.0,172,8.7,8.9,229,7.5,8.9,305,8.5,8.2
212,Turba,1,0.0,0.0,0.0,0.0,247,9.9,8.1,276,8.8,9.0,268,10.5,9.3
213,Turba,1,0.0,0.0,0.0,0.0,301,10.8,9.6,152,9.3,8.7,235,10.5,8.1
214,Turba,1,0.0,0.0,0.0,0.0,247,10.3,8.9,208,8.5,7.9,196,8.5,8.9
215,Turba,1,0.41485225,0.57114729,0.03266705,0.08473363,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
216,Turba,1,0.0,0.0,0.0,0.0,181,8.7,8.8,225,7.5,7.4,250,10.5,9.1
217,Turba,1,0.0,0.0,0.0,0.0,301,8.6,7.7,197,9.3,8.2,279,10.1,8.0
218,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
219,Turba,1,0.0,0.0,0.0,0.0,289,9.4,7.3,211,8.8,8.4,248,10.1,8.1
220,Turba,1,0.0,0.0,0.0,0.0,289,9.7,8.9,231,9.7,10.3,182,11.3,10.1
221,Turba,1,0.0,0.0,0.0,0.0,295,7.9,8.8,229,8.8,8.0,220,8.9,9.9
222,Turba,1,0.40585609,0.58054232,0.03647008,0.08020115,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
223,Turba,1,0.0,0.0,0.0,0.0,270,10.7,8.3,223,9.4,8.0,203,8.4,10.1
224,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
225,Turba,1,0.0,0.0,0.0,0.0,179,11.1,8.4,215,8.7,8.0,220,8.0,8.9
226,Turba,1,0.0,0.0,0.0,0.0,295,10.6,9.8,198,10.1,8.0,212,7.9,10.6
227,Turba,1,0.0,0.0,0.0,0.0,301,8.5,9.4,242,9.1,8.5,240,9.3,11.4
228,Turba,1,0.0,0.0,0.0,0.0,322,8.7,8.9,209,7.6,7.4,155,11.3,11.4
229,Turba,1,0.0,0.0,0.0,0.0,318,11.1,9.4,216,8.7,8.1,250,10.1,7.1
230,Turba,1,0.0,0.0,0.0,0.0,287,9.7,7.7,268,7.6,7.8,279,9.1,8.2
231,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
232,Turba,1,0.0,0.0,0.0,0.0,375,8.7,8.8,208,8.7,8.3,240,8.0,10.5
233,Turba,1,0.0,0.0,0.0,0.0,322,8.8,9.4,203,9.5,9.5,330,9.6,7.2
234,Turba,1,0.0,0.0,0.0,0.0,172,9.2,8.1,209,9.8,8.6,227,7.9,7.5
235,Turba,1,0.0,0.0,0.0,0.0,193,8.6,8.9,241,8.5,9.2,172,9.3,10.2
236,Turba,1,0.0,0.0,0.0,0.0,270,8.7,8.9,276,8.7,8.3,239,11.3,9.3
237,Turba,1,0.0,0.0,0.0,0.0,172,11.1,7.8,146,9.7,8.3,172,9.2,8.8
238,Turba,1,0.0,0.0,0.0,0.0,193,11.3,8.9,268,8.1,9.2,223,9.1,8.0
239,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
240,Turba,1,0.0,0.0,0.0,0.0,165,9.2,8.1,209,10.0,9.0,279,8.6,8.9
241,Turba,1,0.0,0.0,0.0,0.0,287,10.2,7.8,268,9.1,7.9,240,10.5,8.2
242,Turba,1,0.0,0.0,0.0,0.0,182,8.5,10.0,209,9.6,8.1,211,7.9,8.2
243,Turba,1,0.44459373,0.59834894,0.04091178,0.08552382,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
244,Turba,1,0.0,0.0,0.0,0.0,165,8.7,10.0,211,10.5,8.1,292,9.2,8.2
245,Turba,1,0.0,0.0,0.0,0.0,180,10.7,8.3,211,8.8,9.2,298,8.4,6.9
246,Turba,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
247,Turba,1,0.0,0.0,0.0,0.0,197,10.6,8.3,210,9.1,9.2,203,8.2,11.1
248,Turba,1,0.0,0.0,0.0,0.0,155,7.7,8.8,293,8.1,8.8,172,7.3,8.3
249,Turba,1,0.0,0.0,0.0,0.0,165,8.3,7.2,190,8.8,7.4,191,8.2,8.9
250,Turba,1,0.0,0.0,0.0,0.0,310,9.2,7.2,231,10.0,8.4,191,8.5,9.0
