Semilla,Tratamiento,Peso_Dia3,Peso_Dia2,Peso_Dia1
101,Turba,177.0,217.0,226.0
103,Turba,163.0,260.0,196.0
104,Turba,180.0,343.0,239.0
105,Turba,172.0,186.0,268.0
107,Turba,270.0,311.0,292.0
109,Turba,155.0,208.0,212.0
111,Turba,182.0,259.0,216.0
112,Turba,180.0,255.0,279.0
113,Turba,181.0,208.0,239.0
114,Turba,247.0,211.0,194.0
115,Turba,165.0,276.0,288.0
116,Turba,182.0,261.0,288.0
117,Turba,287.0,255.0,298.0
118,Turba,322.0,231.0,220.0
120,Turba,247.0,224.0,268.0
121,Turba,155.0,146.0,298.0
122,Turba,289.0,248.0,248.0
123,Turba,295.0,209.0,194.0
124,Turba,197.0,219.0,224.0
125,Turba,301.0,225.0,288.0
126,Turba,165.0,279.0,223.0
127,Turba,197.0,209.0,223.0
129,Turba,193.0,248.0,212.0
130,Turba,322.0,202.0,224.0
131,Turba,177.0,186.0,235.0
132,Turba,155.0,208.0,226.0
134,Turba,291.0,152.0,330.0
135,Turba,155.0,293.0,216.0
136,Turba,270.0,217.0,268.0
137,Turba,291.0,186.0,172.0
139,Turba,179.0,209.0,182.0
141,Turba,165.0,209.0,330.0
142,Turba,287.0,203.0,330.0
144,Turba,172.0,146.0,250.0
146,Turba,177.0,261.0,268.0
147,Turba,172.0,208.0,172.0
149,Turba,301.0,198.0,288.0
150,Turba,165.0,216.0,224.0
151,Turba,295.0,208.0,288.0
153,Turba,310.0,245.0,191.0
155,Turba,165.0,267.0,194.0
156,Turba,163.0,210.0,227.0
158,Turba,181.0,198.0,226.0
159,Turba,177.0,223.0,288.0
160,Turba,163.0,211.0,223.0
162,Turba,375.0,276.0,172.0
163,Turba,295.0,203.0,155.0
166,Turba,301.0,209.0,279.0
167,Turba,197.0,209.0,223.0
168,Turba,155.0,208.0,227.0
170,Turba,270.0,198.0,292.0
171,Turba,180.0,186.0,239.0
172,Turba,155.0,211.0,330.0
173,Turba,287.0,223.0,155.0
174,Turba,289.0,260.0,212.0
175,Turba,177.0,258.0,330.0
177,Turba,193.0,229.0,211.0
178,Turba,181.0,217.0,216.0
179,Turba,182.0,211.0,226.0
181,Turba,301.0,179.0,288.0
182,Turba,247.0,268.0,268.0
183,Turba,165.0,203.0,203.0
184,Turba,180.0,268.0,235.0
186,Turba,163.0,213.0,223.0
187,Turba,177.0,208.0,240.0
188,Turba,301.0,219.0,223.0
189,Turba,193.0,211.0,191.0
190,Turba,172.0,223.0,288.0
192,Turba,197.0,231.0,194.0
193,Turba,182.0,211.0,194.0
194,Turba,247.0,214.0,235.0
195,Turba,287.0,268.0,227.0
196,Turba,295.0,257.0,240.0
197,Turba,322.0,198.0,268.0
199,Turba,295.0,192.0,225.0
200,Turba,318.0,192.0,216.0
201,Turba,322.0,343.0,211.0
202,Turba,180.0,261.0,248.0
203,Turba,180.0,225.0,298.0
204,Turba,269.0,245.0,196.0
205,Turba,310.0,260.0,298.0
206,Turba,322.0,211.0,240.0
207,Turba,197.0,189.0,212.0
209,Turba,155.0,259.0,216.0
210,Turba,179.0,211.0,196.0
211,Turba,172.0,229.0,305.0
212,Turba,247.0,276.0,268.0
213,Turba,301.0,152.0,235.0
214,Turba,247.0,208.0,196.0
216,Turba,181.0,225.0,250.0
217,Turba,301.0,197.0,279.0
219,Turba,289.0,211.0,248.0
220,Turba,289.0,231.0,182.0
221,Turba,295.0,229.0,220.0
223,Turba,270.0,223.0,203.0
225,Turba,179.0,215.0,220.0
226,Turba,295.0,198.0,212.0
227,Turba,301.0,242.0,240.0
228,Turba,322.0,209.0,155.0
229,Turba,318.0,216.0,250.0
230,Turba,287.0,268.0,279.0
232,Turba,375.0,208.0,240.0
233,Turba,322.0,203.0,330.0
234,Turba,172.0,209.0,227.0
235,Turba,193.0,241.0,172.0
236,Turba,270.0,276.0,239.0
237,Turba,172.0,146.0,172.0
238,Turba,193.0,268.0,223.0
240,Turba,165.0,209.0,279.0
241,Turba,287.0,268.0,240.0
242,Turba,182.0,209.0,211.0
244,Turba,165.0,211.0,292.0
245,Turba,180.0,211.0,298.0
247,Turba,197.0,210.0,203.0
248,Turba,155.0,293.0,172.0
249,Turba,165.0,190.0,191.0
250,Turba,310.0,231.0,191.0
252,Turba,155.0,259.0,216.0
253,Turba,270.0,146.0,227.0
254,Turba,197.0,258.0,330.0
255,Turba,301.0,192.0,225.0
256,Turba,318.0,293.0,182.0
257,Turba,375.0,174.0,330.0
258,Turba,270.0,257.0,182.0
261,Turba,172.0,248.0,305.0
262,Turba,270.0,248.0,305.0
263,Turba,322.0,225.0,279.0
264,Turba,180.0,258.0,194.0
266,Turba,182.0,214.0,250.0
267,Turba,269.0,280.0,227.0
268,Turba,289.0,224.0,240.0
269,Turba,289.0,179.0,218.0
270,Turba,179.0,174.0,220.0
271,Turba,197.0,208.0,248.0
272,Turba,318.0,248.0,225.0
274,Turba,269.0,223.0,226.0
275,Turba,287.0,189.0,223.0
276,Turba,181.0,343.0,248.0
277,Turba,287.0,343.0,212.0
278,Turba,310.0,198.0,225.0
280,Turba,181.0,208.0,279.0
281,Turba,322.0,241.0,216.0
282,Turba,165.0,211.0,235.0
283,Turba,267.0,343.0,305.0
284,Turba,182.0,209.0,196.0
285,Turba,289.0,146.0,305.0
286,Turba,270.0,211.0,239.0
287,Turba,197.0,258.0,250.0
288,Turba,155.0,180.0,223.0
289,Turba,165.0,189.0,172.0
290,Turba,287.0,146.0,220.0
292,Turba,269.0,259.0,292.0
293,Turba,247.0,260.0,225.0
294,Turba,181.0,293.0,248.0
295,Turba,179.0,242.0,288.0
297,Turba,179.0,152.0,226.0
298,Turba,165.0,180.0,305.0
299,Turba,267.0,217.0,196.0
300,Turba,270.0,213.0,330.0
301,Turba,172.0,213.0,298.0
302,Turba,289.0,202.0,239.0
303,Turba,267.0,276.0,212.0
305,Turba,270.0,203.0,212.0
306,Turba,270.0,214.0,218.0
307,Turba,179.0,224.0,218.0
308,Turba,322.0,257.0,292.0
309,Turba,318.0,213.0,235.0
310,Turba,247.0,267.0,268.0
312,Turba,269.0,255.0,248.0
313,Turba,155.0,217.0,240.0
315,Turba,172.0,280.0,298.0
316,Turba,172.0,229.0,155.0
317,Turba,155.0,209.0,330.0
318,Turba,193.0,209.0,227.0
321,Turba,155.0,232.0,218.0
322,Turba,310.0,280.0,235.0
324,Turba,269.0,224.0,305.0
325,Turba,270.0,211.0,172.0
327,Turba,247.0,209.0,292.0
328,Turba,165.0,203.0,298.0
329,Turba,301.0,223.0,292.0
330,Turba,301.0,225.0,279.0
331,Turba,180.0,232.0,250.0
332,Turba,301.0,210.0,288.0
334,Turba,322.0,211.0,216.0
336,Turba,289.0,208.0,248.0
337,Turba,177.0,242.0,288.0
339,Turba,172.0,198.0,172.0
340,Turba,310.0,217.0,239.0
342,Turba,181.0,229.0,279.0
344,Turba,179.0,216.0,211.0
345,Turba,155.0,217.0,240.0
346,Turba,295.0,293.0,194.0
347,Turba,165.0,248.0,216.0
349,Turba,181.0,257.0,248.0
351,Turba,322.0,217.0,279.0
352,Turba,155.0,190.0,226.0
354,Turba,193.0,180.0,196.0
355,Turba,289.0,193.0,268.0
356,Turba,301.0,257.0,196.0
358,Turba,165.0,203.0,196.0
360,Turba,180.0,214.0,172.0
361,Arena-Materia_Organica,247.0,232.0,302.0
363,Arena-Materia_Organica,269.0,178.0,298.0
366,Arena-Materia_Organica,264.0,308.0,169.0
367,Arena-Materia_Organica,269.0,222.0,187.0
368,Arena-Materia_Organica,280.0,332.0,234.0
369,Arena-Materia_Organica,257.0,232.0,255.0
370,Arena-Materia_Organica,264.0,232.0,216.0
371,Arena-Materia_Organica,257.0,186.0,276.0
372,Arena-Materia_Organica,229.0,186.0,321.0
373,Arena-Materia_Organica,157.0,275.0,226.0
374,Arena-Materia_Organica,286.0,308.0,257.0
378,Arena-Materia_Organica,230.0,230.0,235.0
379,Arena-Materia_Organica,264.0,222.0,298.0
380,Arena-Materia_Organica,311.0,178.0,195.0
382,Arena-Materia_Organica,311.0,275.0,243.0
383,Arena-Materia_Organica,254.0,275.0,301.0
384,Arena-Materia_Organica,157.0,241.0,236.0
385,Arena-Materia_Organica,157.0,221.0,193.0
386,Arena-Materia_Organica,254.0,275.0,236.0
388,Arena-Materia_Organica,230.0,253.0,264.0
389,Arena-Materia_Organica,264.0,259.0,231.0
390,Arena-Materia_Organica,247.0,325.0,227.0
391,Arena-Materia_Organica,264.0,253.0,226.0
393,Arena-Materia_Organica,237.0,234.0,284.0
395,Arena-Materia_Organica,311.0,241.0,236.0
396,Arena-Materia_Organica,311.0,240.0,236.0
397,Arena-Materia_Organica,257.0,332.0,267.0
398,Arena-Materia_Organica,247.0,186.0,333.0
399,Arena-Materia_Organica,264.0,332.0,257.0
401,Arena-Materia_Organica,157.0,237.0,184.0
404,Arena-Materia_Organica,230.0,253.0,301.0
405,Arena-Materia_Organica,264.0,332.0,169.0
407,Arena-Materia_Organica,249.0,290.0,298.0
408,Arena-Materia_Organica,229.0,232.0,183.0
409,Arena-Materia_Organica,264.0,232.0,205.0
410,Arena-Materia_Organica,237.0,322.0,210.0
411,Arena-Materia_Organica,286.0,178.0,300.0
412,Arena-Materia_Organica,311.0,186.0,301.0
414,Arena-Materia_Organica,280.0,275.0,224.0
415,Arena-Materia_Organica,254.0,221.0,198.0
416,Arena-Materia_Organica,269.0,253.0,224.0
417,Arena-Materia_Organica,237.0,240.0,198.0
418,Arena-Materia_Organica,157.0,241.0,301.0
419,Arena-Materia_Organica,269.0,332.0,193.0
420,Arena-Materia_Organica,286.0,186.0,333.0
422,Arena-Materia_Organica,230.0,290.0,257.0
425,Arena-Materia_Organica,157.0,232.0,183.0
426,Arena-Materia_Organica,257.0,186.0,278.0
428,Arena-Materia_Organica,311.0,308.0,205.0
429,Arena-Materia_Organica,254.0,238.0,236.0
430,Arena-Materia_Organica,280.0,232.0,264.0
432,Arena-Materia_Organica,247.0,178.0,267.0
433,Arena-Materia_Organica,157.0,178.0,224.0
434,Arena-Materia_Organica,286.0,241.0,261.0
435,Arena-Materia_Organica,247.0,230.0,255.0
436,Arena-Materia_Organica,229.0,186.0,257.0
438,Arena-Materia_Organica,311.0,234.0,261.0
439,Arena-Materia_Organica,230.0,230.0,239.0
440,Arena-Materia_Organica,157.0,234.0,181.0
441,Arena-Materia_Organica,247.0,332.0,226.0
442,Arena-Materia_Organica,237.0,178.0,248.0
443,Arena-Materia_Organica,254.0,222.0,230.0
445,Arena-Materia_Organica,247.0,234.0,147.0
446,Arena-Materia_Organica,254.0,275.0,327.0
447,Arena-Materia_Organica,254.0,275.0,257.0
448,Arena-Materia_Organica,230.0,234.0,261.0
449,Arena-Materia_Organica,286.0,308.0,250.0
450,Arena-Materia_Organica,249.0,222.0,307.0
451,Arena-Materia_Organica,269.0,232.0,206.0
453,Arena-Materia_Organica,237.0,290.0,209.0
454,Arena-Materia_Organica,280.0,234.0,302.0
455,Arena-Materia_Organica,311.0,222.0,169.0
457,Arena-Materia_Organica,286.0,275.0,201.0
458,Arena-Materia_Organica,269.0,325.0,205.0
459,Arena-Materia_Organica,257.0,240.0,209.0
460,Arena-Materia_Organica,286.0,259.0,198.0
461,Arena-Materia_Organica,157.0,240.0,165.0
463,Arena-Materia_Organica,286.0,275.0,226.0
464,Arena-Materia_Organica,247.0,186.0,201.0
465,Arena-Materia_Organica,230.0,230.0,198.0
467,Arena-Materia_Organica,229.0,222.0,214.0
468,Arena-Materia_Organica,257.0,230.0,224.0
470,Arena-Materia_Organica,264.0,178.0,227.0
471,Arena-Materia_Organica,230.0,178.0,209.0
472,Arena-Materia_Organica,286.0,232.0,252.0
473,Arena-Materia_Organica,229.0,241.0,363.0
474,Arena-Materia_Organica,280.0,230.0,255.0
475,Arena-Materia_Organica,269.0,230.0,268.0
476,Arena-Materia_Organica,237.0,237.0,363.0
477,Arena-Materia_Organica,249.0,259.0,170.0
479,Arena-Materia_Organica,157.0,322.0,327.0
480,Arena-Materia_Organica,219.0,230.0,165.0
481,Arena-Materia_Organica,311.0,290.0,147.0
483,Arena-Materia_Organica,269.0,308.0,265.0
485,Arena-Materia_Organica,280.0,259.0,184.0
486,Arena-Materia_Organica,311.0,290.0,302.0
487,Arena-Materia_Organica,237.0,230.0,205.0
488,Arena-Materia_Organica,230.0,186.0,245.0
489,Arena-Materia_Organica,237.0,237.0,252.0
491,Arena-Materia_Organica,280.0,178.0,237.0
492,Arena-Materia_Organica,249.0,322.0,257.0
493,Arena-Materia_Organica,230.0,322.0,284.0
494,Arena-Materia_Organica,286.0,238.0,230.0
495,Arena-Materia_Organica,311.0,322.0,250.0
497,Arena-Materia_Organica,254.0,232.0,277.0
498,Arena-Materia_Organica,230.0,322.0,201.0
500,Arena-Materia_Organica,249.0,332.0,269.0
503,Arena-Materia_Organica,269.0,234.0,169.0
504,Arena-Materia_Organica,237.0,322.0,300.0
505,Arena-Materia_Organica,229.0,325.0,217.0
506,Arena-Materia_Organica,280.0,253.0,327.0
507,Arena-Materia_Organica,286.0,178.0,257.0
508,Arena-Materia_Organica,269.0,237.0,230.0
509,Arena-Materia_Organica,254.0,230.0,264.0
510,Arena-Materia_Organica,311.0,241.0,183.0
514,Arena-Materia_Organica,286.0,290.0,301.0
515,Arena-Materia_Organica,247.0,275.0,268.0
517,Arena-Materia_Organica,229.0,241.0,225.0
518,Arena-Materia_Organica,286.0,325.0,226.0
520,Arena-Materia_Organica,237.0,238.0,231.0
523,Arena-Materia_Organica,269.0,290.0,230.0
524,Arena-Materia_Organica,237.0,230.0,169.0
525,Arena-Materia_Organica,157.0,238.0,198.0
526,Arena-Materia_Organica,280.0,222.0,222.0
528,Arena-Materia_Organica,257.0,308.0,264.0
529,Arena-Materia_Organica,249.0,275.0,170.0
530,Arena-Materia_Organica,280.0,234.0,252.0
531,Arena-Materia_Organica,229.0,238.0,236.0
532,Arena-Materia_Organica,237.0,238.0,214.0
533,Arena-Materia_Organica,254.0,253.0,234.0
534,Arena-Materia_Organica,247.0,234.0,225.0
535,Arena-Materia_Organica,237.0,259.0,203.0
536,Arena-Materia_Organica,229.0,222.0,226.0
537,Arena-Materia_Organica,230.0,253.0,181.0
538,Arena-Materia_Organica,264.0,237.0,216.0
539,Arena-Materia_Organica,219.0,275.0,203.0
540,Arena-Materia_Organica,257.0,308.0,190.0
541,Arena-Materia_Organica,249.0,232.0,206.0
542,Arena-Materia_Organica,247.0,275.0,252.0
544,Arena-Materia_Organica,264.0,237.0,226.0
545,Arena-Materia_Organica,230.0,332.0,205.0
547,Arena-Materia_Organica,230.0,275.0,231.0
548,Arena-Materia_Organica,280.0,237.0,187.0
549,Arena-Materia_Organica,286.0,308.0,230.0
550,Arena-Materia_Organica,229.0,234.0,333.0
552,Arena-Materia_Organica,229.0,178.0,227.0
553,Arena-Materia_Organica,247.0,232.0,165.0
555,Arena-Materia_Organica,264.0,237.0,231.0
557,Arena-Materia_Organica,219.0,240.0,248.0
558,Arena-Materia_Organica,311.0,275.0,284.0
559,Arena-Materia_Organica,249.0,253.0,264.0
561,Arena-Materia_Organica,157.0,186.0,165.0
562,Arena-Materia_Organica,249.0,240.0,183.0
563,Arena-Materia_Organica,286.0,308.0,236.0
564,Arena-Materia_Organica,219.0,253.0,267.0
566,Arena-Materia_Organica,249.0,253.0,230.0
567,Arena-Materia_Organica,269.0,240.0,248.0
568,Arena-Materia_Organica,219.0,221.0,198.0
569,Arena-Materia_Organica,230.0,222.0,302.0
571,Arena-Materia_Organica,254.0,259.0,230.0
573,Arena-Materia_Organica,311.0,325.0,205.0
575,Arena-Materia_Organica,219.0,186.0,321.0
576,Arena-Materia_Organica,247.0,325.0,257.0
578,Arena-Materia_Organica,269.0,241.0,203.0
579,Arena-Materia_Organica,280.0,275.0,224.0
582,Arena-Materia_Organica,257.0,241.0,187.0
585,Arena-Materia_Organica,286.0,332.0,194.0
586,Arena-Materia_Organica,237.0,186.0,265.0
587,Arena-Materia_Organica,311.0,234.0,248.0
589,Arena-Materia_Organica,280.0,259.0,192.0
590,Arena-Materia_Organica,286.0,325.0,262.0
591,Arena-Materia_Organica,286.0,186.0,222.0
592,Arena-Materia_Organica,264.0,221.0,269.0
594,Arena-Materia_Organica,237.0,222.0,257.0
595,Arena-Materia_Organica,229.0,325.0,184.0
597,Arena-Materia_Organica,249.0,238.0,222.0
598,Arena-Materia_Organica,311.0,253.0,195.0
601,Arena-Materia_Organica,230.0,290.0,230.0
602,Arena-Materia_Organica,269.0,259.0,248.0
603,Arena-Materia_Organica,219.0,241.0,255.0
604,Arena-Materia_Organica,286.0,253.0,194.0
605,Arena-Materia_Organica,254.0,178.0,191.0
606,Arena-Materia_Organica,286.0,186.0,257.0
607,Arena-Materia_Organica,257.0,238.0,201.0
609,Arena-Materia_Organica,280.0,186.0,170.0
610,Arena-Materia_Organica,311.0,238.0,230.0
611,Arena-Materia_Organica,264.0,308.0,195.0
612,Arena-Materia_Organica,157.0,237.0,230.0
614,Arena-Materia_Organica,269.0,259.0,276.0
615,Arena-Materia_Organica,257.0,232.0,235.0
616,Arena-Materia_Organica,264.0,178.0,236.0
617,Arena-Materia_Organica,219.0,186.0,250.0
618,Arena-Materia_Organica,264.0,325.0,236.0
619,Arena-Materia_Organica,280.0,241.0,194.0
620,Arena-Materia_Organica,286.0,237.0,269.0
621,Arena-Materia_Organica,230.0,234.0,217.0
622,Arena-Materia_Organica,247.0,308.0,236.0
623,Arena-Materia_Organica,247.0,240.0,206.0
626,Arena-Materia_Organica,230.0,240.0,250.0
627,Arena-Materia_Organica,286.0,325.0,265.0
629,Arena-Materia_Organica,249.0,308.0,235.0
630,Arena-Materia_Organica,286.0,221.0,250.0
631,Arena-Materia_Organica,269.0,322.0,257.0
632,Arena-Materia_Organica,254.0,238.0,300.0
633,Arena-Materia_Organica,247.0,240.0,276.0
634,Arena-Materia_Organica,249.0,241.0,245.0
635,Arena-Materia_Organica,157.0,241.0,217.0
638,Arena-Materia_Organica,286.0,325.0,230.0
639,Arena-Materia_Organica,286.0,259.0,195.0
640,Arena-Materia_Organica,286.0,186.0,236.0
641,Arena-Materia_Organica,249.0,290.0,226.0
643,Arena-Materia_Organica,286.0,237.0,250.0
644,Arena-Materia_Organica,230.0,234.0,216.0
645,Arena-Materia_Organica,157.0,325.0,170.0
647,Arena-Materia_Organica,269.0,232.0,257.0
648,Arena-Materia_Organica,280.0,275.0,257.0
649,Arena-Materia_Organica,247.0,232.0,144.0
653,Arena-Materia_Organica,264.0,222.0,225.0
654,Arena-Materia_Organica,280.0,253.0,231.0
656,Arena-Materia_Organica,286.0,232.0,255.0
657,Arena-Materia_Organica,286.0,237.0,227.0
658,Arena-Materia_Organica,219.0,325.0,144.0
661,Arena-Materia_Organica,269.0,237.0,262.0
662,Arena-Materia_Organica,247.0,241.0,182.0
663,Arena-Materia_Organica,286.0,232.0,277.0
665,Arena-Materia_Organica,247.0,241.0,264.0
666,Arena-Materia_Organica,254.0,275.0,191.0
667,Arena-Materia_Organica,237.0,332.0,321.0
668,Arena-Materia_Organica,247.0,308.0,248.0
669,Arena-Materia_Organica,286.0,221.0,181.0
670,Arena-Materia_Organica,311.0,325.0,248.0
671,Arena-Materia_Organica,229.0,275.0,209.0
672,Arena-Materia_Organica,229.0,332.0,234.0
675,Arena-Materia_Organica,230.0,275.0,217.0
676,Arena-Materia_Organica,280.0,275.0,257.0
678,Arena-Materia_Organica,230.0,240.0,217.0
679,Arena-Materia_Organica,286.0,275.0,193.0
681,Arena-Materia_Organica,230.0,332.0,226.0
682,Arena-Materia_Organica,247.0,241.0,184.0
684,Arena-Materia_Organica,247.0,221.0,363.0
686,Arena-Materia_Organica,157.0,322.0,327.0
688,Arena-Materia_Organica,264.0,234.0,195.0
689,Arena-Materia_Organica,237.0,332.0,230.0
690,Arena-Materia_Organica,286.0,178.0,230.0
691,Arena-Materia_Organica,269.0,222.0,276.0
692,Arena-Materia_Organica,230.0,237.0,203.0
693,Arena-Materia_Organica,157.0,186.0,169.0
694,Arena-Materia_Organica,157.0,253.0,231.0
696,Arena-Materia_Organica,229.0,230.0,170.0
697,Arena-Materia_Organica,286.0,275.0,250.0
699,Arena-Materia_Organica,219.0,322.0,225.0
700,Arena-Materia_Organica,254.0,230.0,183.0
701,Arena-Materia_Organica,157.0,240.0,300.0
702,Arena-Materia_Organica,230.0,253.0,198.0
703,Arena-Materia_Organica,269.0,237.0,269.0
704,Arena-Materia_Organica,230.0,275.0,205.0
705,Arena-Materia_Organica,229.0,253.0,195.0
706,Arena-Materia_Organica,237.0,178.0,301.0
707,Arena-Materia_Organica,286.0,325.0,224.0
708,Arena-Materia_Organica,286.0,230.0,169.0
709,Arena-Materia_Organica,157.0,322.0,264.0
710,Arena-Materia_Organica,311.0,308.0,222.0
711,Arena-Materia_Organica,257.0,178.0,264.0
712,Arena-Materia_Organica,247.0,253.0,205.0
713,Arena-Materia_Organica,229.0,325.0,184.0
714,Arena-Materia_Organica,157.0,259.0,165.0
715,Arena-Materia_Organica,264.0,232.0,302.0
716,Arena-Materia_Organica,286.0,325.0,198.0
717,Arena-Materia_Organica,286.0,230.0,217.0
718,Arena-Materia_Organica,230.0,253.0,205.0
719,Arena-Materia_Organica,257.0,230.0,226.0
720,Arena-Materia_Organica,257.0,186.0,236.0
721,Cascarilla-Materia_Organica,257.0,257.0,250.0
722,Cascarilla-Materia_Organica,256.0,143.0,190.0
723,Cascarilla-Materia_Organica,251.0,226.0,263.0
724,Cascarilla-Materia_Organica,289.0,204.0,180.0
725,Cascarilla-Materia_Organica,240.0,275.0,190.0
726,Cascarilla-Materia_Organica,289.0,300.0,243.0
727,Cascarilla-Materia_Organica,234.0,266.0,263.0
728,Cascarilla-Materia_Organica,197.0,266.0,250.0
730,Cascarilla-Materia_Organica,251.0,204.0,346.0
733,Cascarilla-Materia_Organica,287.0,253.0,264.0
734,Cascarilla-Materia_Organica,328.0,301.0,298.0
735,Cascarilla-Materia_Organica,240.0,258.0,234.0
736,Cascarilla-Materia_Organica,228.0,143.0,253.0
737,Cascarilla-Materia_Organica,293.0,300.0,243.0
738,Cascarilla-Materia_Organica,426.0,196.0,207.0
739,Cascarilla-Materia_Organica,259.0,246.0,238.0
740,Cascarilla-Materia_Organica,183.0,266.0,180.0
741,Cascarilla-Materia_Organica,257.0,214.0,218.0
742,Cascarilla-Materia_Organica,282.0,169.0,199.0
743,Cascarilla-Materia_Organica,426.0,239.0,234.0
744,Cascarilla-Materia_Organica,328.0,239.0,199.0
747,Cascarilla-Materia_Organica,234.0,266.0,198.0
748,Cascarilla-Materia_Organica,240.0,153.0,222.0
749,Cascarilla-Materia_Organica,291.0,181.0,204.0
750,Cascarilla-Materia_Organica,165.0,275.0,220.0
752,Cascarilla-Materia_Organica,282.0,281.0,209.0
753,Cascarilla-Materia_Organica,256.0,226.0,220.0
755,Cascarilla-Materia_Organica,328.0,239.0,263.0
757,Cascarilla-Materia_Organica,304.0,247.0,264.0
759,Cascarilla-Materia_Organica,301.0,257.0,232.0
761,Cascarilla-Materia_Organica,301.0,343.0,253.0
762,Cascarilla-Materia_Organica,159.0,304.0,255.0
763,Cascarilla-Materia_Organica,256.0,275.0,273.0
764,Cascarilla-Materia_Organica,228.0,304.0,232.0
766,Cascarilla-Materia_Organica,240.0,198.0,196.0
769,Cascarilla-Materia_Organica,291.0,215.0,263.0
770,Cascarilla-Materia_Organica,240.0,215.0,266.0
771,Cascarilla-Materia_Organica,165.0,258.0,218.0
773,Cascarilla-Materia_Organica,291.0,173.0,263.0
774,Cascarilla-Materia_Organica,197.0,343.0,197.0
775,Cascarilla-Materia_Organica,301.0,266.0,298.0
776,Cascarilla-Materia_Organica,251.0,264.0,254.0
778,Cascarilla-Materia_Organica,329.0,335.0,250.0
779,Cascarilla-Materia_Organica,287.0,214.0,180.0
780,Cascarilla-Materia_Organica,229.0,300.0,180.0
781,Cascarilla-Materia_Organica,276.0,214.0,235.0
782,Cascarilla-Materia_Organica,228.0,226.0,298.0
786,Cascarilla-Materia_Organica,304.0,222.0,238.0
788,Cascarilla-Materia_Organica,159.0,196.0,245.0
789,Cascarilla-Materia_Organica,183.0,343.0,204.0
790,Cascarilla-Materia_Organica,240.0,258.0,185.0
791,Cascarilla-Materia_Organica,304.0,166.0,264.0
792,Cascarilla-Materia_Organica,197.0,264.0,180.0
793,Cascarilla-Materia_Organica,228.0,204.0,204.0
795,Cascarilla-Materia_Organica,170.0,257.0,185.0
796,Cascarilla-Materia_Organica,301.0,300.0,207.0
797,Cascarilla-Materia_Organica,282.0,335.0,273.0
799,Cascarilla-Materia_Organica,170.0,266.0,236.0
801,Cascarilla-Materia_Organica,263.0,150.0,199.0
802,Cascarilla-Materia_Organica,240.0,150.0,250.0
803,Cascarilla-Materia_Organica,242.0,166.0,236.0
804,Cascarilla-Materia_Organica,157.0,359.0,250.0
805,Cascarilla-Materia_Organica,183.0,308.0,252.0
807,Cascarilla-Materia_Organica,282.0,150.0,225.0
808,Cascarilla-Materia_Organica,157.0,301.0,197.0
812,Cascarilla-Materia_Organica,426.0,204.0,209.0
